city,AQI,PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI
嘉义县,27.59979166666666,16.601190476190474,13.86,4.694999999999999,24.4875,3.9166666666666665,25.243749999999995
保山市,30.496833046471597,25.041652323580035,26.90879518072289,4.591686746987952,8.377560240963856,10.569277108433734,29.859457831325297
曲靖市,40.15930232558139,23.2124031007752,24.30844961240312,7.226434108527134,9.675968992248064,10.67248062015504,40.15930232558139
花莲县,33.16525,15.696428571428571,12.9225,2.198,11.133125000000003,3.3625,33.16525
昆明市,41.592789473684206,24.195037593984956,26.81278947368421,8.60284210526316,11.91355263157894,18.010526315789473,41.09826315789472
桂林市,51.76318234610919,51.74792392566784,47.71747967479674,12.677073170731711,12.802235772357728,14.016260162601624,31.190487804878064
云林县,28.92708333333333,17.84523809523809,16.225,6.330000000000001,28.92708333333333,4.083333333333333,26.22083333333333
黔西南布依族苗族自治州,34.5351467710372,26.72152641878668,29.71589041095889,8.03246575342466,5.893664383561645,10.099315068493151,33.48102739726027
南投县,29.361764705882354,18.257983193277312,14.644117647058822,3.612941176470588,20.461029411764716,4.088235294117647,29.31823529411765
大理白族自治州,39.59385496183206,21.87938931297709,24.360000000000007,4.503358778625951,4.045515267175572,8.604961832061068,39.58736641221374
永州市,55.58894736842106,55.00199248120302,52.68757894736844,12.445157894736846,12.126447368421047,15.628947368421052,34.216210526315784
赣州市,49.62020782889426,49.62020782889426,45.30361581920906,13.867344632768354,9.502471751412427,20.823446327683616,33.21392655367232
彰化县,29.575000000000003,17.692857142857143,17.097500000000004,7.2425,29.575000000000003,4.1875,26.26
黔南布依族苗族自治州,40.56747826086957,35.04782608695652,40.56747826086957,8.902347826086958,10.72663043478261,17.208695652173912,16.543086956521734
台中市,29.17068181818181,17.77792207792208,15.054545454545456,4.624545454545454,20.67727272727273,4.045454545454546,28.59
郴州市,54.27010262725781,53.88318965517243,51.04988505747128,10.279310344827582,12.06724137931034,19.4683908045977,32.48011494252874
龙岩市,32.513158347676416,29.50395869191051,30.21602409638553,9.234578313253008,14.220783132530116,16.900602409638555,30.713313253012057
厦门市,35.28000000000001,30.528571428571432,35.28000000000001,7.701428571428571,33.07142857142857,16.428571428571427,21.185714285714287
泉州市,30.82407738095239,28.762500000000003,30.41666666666667,6.252500000000001,23.578125,15.90625,22.9075
六盘水市,34.0104347826087,26.193167701863352,32.78119565217391,9.995869565217392,17.93967391304348,13.896739130434783,26.76228260869566
安顺市,30.360609756097567,25.027526132404187,30.10878048780489,7.952195121951219,10.640853658536583,12.121951219512194,21.59682926829268
黔东南苗族侗族自治州,49.386248636859335,44.88075245365322,49.24782442748093,14.211221374045795,6.997137404580153,15.933206106870228,26.744770992366423
苗栗县,27.57892857142857,18.21632653061225,16.714285714285715,5.817142857142857,22.84821428571428,4.035714285714286,27.185714285714287
宜兰县,30.241,16.940000000000005,14.184,4.209,12.89125,3.175,30.241
新竹县,28.379285714285714,20.795918367346932,18.074285714285715,8.2,24.75714285714286,3.892857142857143,26.05142857142857
怒江傈僳族自治州,40.17088709677419,18.775806451612908,20.396290322580644,2.6537096774193545,0.9774193548387092,9.487903225806452,40.17088709677419
莆田市,30.082857142857147,28.02605042016808,28.205294117647064,5.084117647058823,22.25,14.617647058823527,28.095588235294123
桃园市,34.2675,24.06571428571429,22.768,14.168,34.2675,3.7,23.439
新北市,30.697812500000005,18.88928571428572,17.34625,7.927499999999999,18.63125,3.15625,29.160000000000004
怀化市,52.472463369963386,48.99522283272283,52.31055555555557,14.687948717948716,8.362927350427345,19.63034188034188,32.93273504273505
丽江市,42.18067415730337,20.43306581059391,25.86932584269662,4.297640449438201,3.661095505617977,15.297752808988765,41.82325842696629
凉山彝族自治州,42.07424409237379,22.512090494092373,22.97343984962404,6.7809022556390985,6.67283834586466,11.578947368421051,40.658007518796985
邵阳市,54.00436170212764,53.91903495440727,50.86255319148936,18.041063829787227,12.24401595744681,17.84308510638298,34.568191489361695
台北市,27.74375,22.92142857142857,21.73,13.6,27.74375,3.25,25.85
攀枝花市,48.450625,31.99748883928572,45.2465625,26.383749999999992,21.53945312499999,28.9296875,37.176875
贵阳市,40.95892857142858,32.46530612244898,38.72,5.501142857142857,31.621071428571423,15.735714285714286,14.905714285714284
三明市,35.920443828016616,35.31678224687932,34.346990291262145,10.218155339805826,13.31735436893204,19.71359223300971,28.411067961165056
福州市,32.632822128851544,24.843977591036424,27.515294117647063,4.473333333333333,23.40710784313725,13.892156862745098,31.737058823529413
基隆市,28.925,20.31428571428572,19.2,9.03,18.5375,3.0,28.925
毕节市,33.3517561983471,24.555726092089728,29.002727272727277,7.005867768595041,17.434297520661154,12.117768595041325,24.139917355371903
衡阳市,62.62499999999999,62.62499999999999,54.27810606060606,12.752575757575762,19.8191287878788,19.95833333333333,28.538939393939383
株洲市,57.10754999999999,56.86900000000001,54.35300000000001,14.859199999999998,15.348000000000006,18.09,30.2194
吉安市,55.12690039318481,55.12690039318481,51.61201834862386,18.119357798165137,12.688761467889906,19.369266055045877,32.05371559633028
